episode,frames,reward,avg_reward_last_100,epsilon
0,1009,-20.0,-20.0,0.9990424
1,2203,-19.0,-19.5,0.9979081
2,3288,-18.0,-19.0,0.99687735
3,4265,-19.0,-19.0,0.9959492
4,5057,-21.0,-19.4,0.9951968
5,5978,-19.0,-19.333333333333332,0.99432185
6,6850,-20.0,-19.428571428571427,0.99349345
7,7789,-21.0,-19.625,0.9926014
8,8613,-21.0,-19.77777777777778,0.9918186
9,9785,-20.0,-19.8,0.9907052
10,10844,-19.0,-19.727272727272727,0.98969915
11,11776,-20.0,-19.75,0.98881375
12,12680,-20.0,-19.76923076923077,0.98795495
13,13522,-20.0,-19.785714285714285,0.98715505
14,14502,-20.0,-19.8,0.98622405
15,15326,-21.0,-19.875,0.98544125
16,16210,-21.0,-19.941176470588236,0.98460145
17,17299,-20.0,-19.944444444444443,0.9835669
18,18198,-20.0,-19.94736842105263,0.98271285
19,19106,-21.0,-20.0,0.98185025
20,20103,-20.0,-20.0,0.9809031
21,21076,-21.0,-20.045454545454547,0.97997875
22,21947,-20.0,-20.043478260869566,0.9791513000000001
23,22891,-21.0,-20.083333333333332,0.9782545
24,23868,-19.0,-20.04,0.97732635
25,24828,-21.0,-20.076923076923077,0.97641435
26,25592,-21.0,-20.11111111111111,0.97568855
27,26497,-21.0,-20.142857142857142,0.9748288
28,27579,-20.0,-20.137931034482758,0.9738009
29,28431,-21.0,-20.166666666666668,0.9729915
30,29380,-20.0,-20.161290322580644,0.97208995
31,30343,-20.0,-20.15625,0.9711751
32,31310,-19.0,-20.12121212121212,0.97025645
33,32258,-20.0,-20.11764705882353,0.96935585
34,33110,-21.0,-20.142857142857142,0.9685464500000001
35,33874,-21.0,-20.166666666666668,0.96782065
36,34726,-21.0,-20.18918918918919,0.96701125
37,35606,-21.0,-20.210526315789473,0.96617525
38,36449,-20.0,-20.205128205128204,0.9653744
39,37475,-20.0,-20.2,0.9643997
40,38299,-21.0,-20.21951219512195,0.9636169
41,39142,-21.0,-20.238095238095237,0.96281605
42,40012,-21.0,-20.25581395348837,0.96198955
43,40917,-21.0,-20.272727272727273,0.9611298
44,41820,-21.0,-20.288888888888888,0.96027195
45,42914,-21.0,-20.304347826086957,0.95923265
46,43854,-21.0,-20.319148936170212,0.95833965
47,44804,-20.0,-20.3125,0.95743715
48,45736,-21.0,-20.3265306122449,0.95655175
49,46664,-21.0,-20.34,0.95567015
50,47767,-21.0,-20.352941176470587,0.9546223
51,48592,-21.0,-20.365384615384617,0.95383855
52,49494,-21.0,-20.37735849056604,0.95298165
53,50442,-20.0,-20.37037037037037,0.95208105
54,51268,-21.0,-20.381818181818183,0.95129635
55,52141,-21.0,-20.392857142857142,0.950467
56,53068,-21.0,-20.403508771929825,0.94958635
57,54092,-20.0,-20.396551724137932,0.94861355
58,54996,-21.0,-20.406779661016948,0.94775475
59,55926,-20.0,-20.4,0.94687125
60,56890,-20.0,-20.39344262295082,0.94595545
61,57714,-21.0,-20.403225806451612,0.94517265
62,58616,-20.0,-20.396825396825395,0.94431575
63,59561,-20.0,-20.390625,0.943418
64,60410,-21.0,-20.4,0.94261145
65,61620,-18.0,-20.363636363636363,0.94146195
66,62569,-20.0,-20.35820895522388,0.9405604
67,63483,-21.0,-20.36764705882353,0.9396921
68,64501,-20.0,-20.36231884057971,0.938725
69,65327,-21.0,-20.37142857142857,0.9379403
70,66257,-20.0,-20.366197183098592,0.9370568
71,67198,-21.0,-20.375,0.93616285
72,68130,-20.0,-20.36986301369863,0.9352774500000001
73,69111,-20.0,-20.364864864864863,0.9343455
74,70113,-21.0,-20.373333333333335,0.9333936
75,71003,-20.0,-20.36842105263158,0.9325481
76,72095,-19.0,-20.350649350649352,0.9315107
77,72887,-21.0,-20.358974358974358,0.9307583
78,73680,-21.0,-20.367088607594937,0.93000495
79,74640,-21.0,-20.375,0.92909295
80,75453,-21.0,-20.382716049382715,0.9283205999999999
81,76307,-21.0,-20.390243902439025,0.9275093
82,77209,-20.0,-20.3855421686747,0.9266524
83,78208,-19.0,-20.36904761904762,0.92570335
84,79131,-20.0,-20.36470588235294,0.9248265
85,80116,-21.0,-20.372093023255815,0.92389075
86,81019,-21.0,-20.379310344827587,0.9230329
87,82176,-20.0,-20.375,0.92193375
88,83060,-21.0,-20.382022471910112,0.92109395
89,84032,-21.0,-20.38888888888889,0.92017055
90,85083,-21.0,-20.395604395604394,0.9191721
91,85847,-21.0,-20.402173913043477,0.9184463
92,86611,-21.0,-20.408602150537636,0.9177204999999999
93,87513,-20.0,-20.404255319148938,0.9168636
94,88372,-20.0,-20.4,0.91604755
95,89198,-21.0,-20.40625,0.91526285
96,90022,-21.0,-20.412371134020617,0.91448005
97,90832,-21.0,-20.418367346938776,0.91371055
98,91794,-20.0,-20.414141414141415,0.91279665
99,92799,-19.0,-20.4,0.9118419
100,93679,-21.0,-20.41,0.9110059
101,94799,-19.0,-20.41,0.9099419
102,95729,-21.0,-20.44,0.9090584
103,96857,-19.0,-20.44,0.9079868
104,97739,-21.0,-20.44,0.9071489
105,98719,-21.0,-20.46,0.9062179
106,99603,-21.0,-20.47,0.9053781
107,100427,-21.0,-20.47,0.9045953
108,101686,-17.0,-20.43,0.90339925
109,102558,-21.0,-20.44,0.90257085
110,103601,-19.0,-20.44,0.90158
111,104487,-21.0,-20.45,0.9007383
112,105326,-21.0,-20.46,0.89994125
113,106215,-20.0,-20.46,0.8990967
114,106979,-21.0,-20.47,0.8983709
115,107942,-20.0,-20.46,0.89745605
116,108840,-20.0,-20.45,0.89660295
117,109739,-21.0,-20.46,0.8957489
118,110619,-21.0,-20.47,0.8949129
119,111612,-21.0,-20.47,0.89396955
120,112592,-19.0,-20.46,0.89303855
121,113435,-21.0,-20.46,0.8922377
122,114577,-21.0,-20.47,0.8911528
123,115407,-21.0,-20.47,0.8903643
124,116272,-20.0,-20.48,0.88954255
125,117124,-21.0,-20.48,0.88873315
126,117888,-21.0,-20.48,0.88800735
127,118838,-20.0,-20.47,0.8871048500000001
128,119967,-18.0,-20.45,0.8860323
129,120837,-20.0,-20.44,0.8852058
130,121951,-19.0,-20.43,0.8841475
131,122916,-21.0,-20.44,0.8832307500000001
132,123708,-21.0,-20.46,0.88247835
133,124472,-21.0,-20.47,0.88175255
134,125431,-20.0,-20.46,0.8808415
135,126426,-19.0,-20.44,0.87989625
136,127507,-20.0,-20.43,0.8788693
137,128462,-20.0,-20.42,0.87796205
138,129487,-21.0,-20.43,0.8769883
139,130376,-20.0,-20.43,0.87614375
140,131230,-21.0,-20.43,0.87533245
141,132361,-19.0,-20.41,0.874258
142,133125,-21.0,-20.41,0.8735322
143,133949,-21.0,-20.41,0.8727494
144,134909,-20.0,-20.4,0.8718374
145,136054,-18.0,-20.37,0.87074965
146,136966,-21.0,-20.37,0.86988325
147,137730,-21.0,-20.38,0.86915745
148,138522,-21.0,-20.38,0.86840505
149,139402,-21.0,-20.38,0.86756905
150,140166,-21.0,-20.38,0.86684325
151,141027,-20.0,-20.37,0.8660253
152,141791,-21.0,-20.37,0.8652995
153,142653,-21.0,-20.38,0.8644806
154,143505,-21.0,-20.38,0.8636712
155,144773,-17.0,-20.34,0.8624666
156,145692,-20.0,-20.33,0.86159355
157,146544,-21.0,-20.34,0.86078415
158,147428,-21.0,-20.34,0.85994435
159,148192,-21.0,-20.35,0.85921855
160,148956,-21.0,-20.36,0.85849275
161,149720,-21.0,-20.36,0.85776695
162,150731,-20.0,-20.36,0.8568065
163,151724,-20.0,-20.36,0.85586315
164,152488,-21.0,-20.36,0.85513735
165,153497,-20.0,-20.38,0.8541788
166,154428,-20.0,-20.38,0.85329435
167,155240,-21.0,-20.38,0.85252295
168,156204,-20.0,-20.38,0.85160715
169,157255,-20.0,-20.37,0.8506087
170,158191,-20.0,-20.37,0.8497195
171,159137,-20.0,-20.36,0.8488208
172,160051,-21.0,-20.37,0.8479525
173,160862,-21.0,-20.38,0.84718205
174,161924,-19.0,-20.36,0.84617315
175,162744,-21.0,-20.37,0.84539415
176,163722,-20.0,-20.38,0.8444650499999999
177,164542,-21.0,-20.38,0.8436860500000001
178,165394,-21.0,-20.38,0.84287665
179,166279,-21.0,-20.38,0.8420359
180,167137,-21.0,-20.38,0.8412208
181,168143,-21.0,-20.38,0.8402651
182,169101,-20.0,-20.38,0.8393550000000001
183,170231,-20.0,-20.39,0.8382815
184,171055,-21.0,-20.4,0.8374987
185,172045,-20.0,-20.39,0.8365582
186,173102,-19.0,-20.37,0.83555405
187,174018,-20.0,-20.37,0.83468385
188,175089,-20.0,-20.36,0.8336664
189,175881,-21.0,-20.36,0.8329139999999999
190,176842,-20.0,-20.35,0.83200105
191,177772,-20.0,-20.34,0.83111755
192,178623,-21.0,-20.34,0.8303091
193,179476,-21.0,-20.35,0.82949875
194,180364,-21.0,-20.36,0.82865515
195,181267,-21.0,-20.36,0.8277973
196,182303,-20.0,-20.35,0.8268131000000001
197,183203,-21.0,-20.35,0.8259581
198,184105,-21.0,-20.36,0.8251012
199,185161,-18.0,-20.35,0.824098
200,186013,-21.0,-20.35,0.8232886
201,186915,-20.0,-20.36,0.8224317
202,187739,-21.0,-20.36,0.8216489
203,188503,-21.0,-20.38,0.8209231
