episode,total_reward,best_reward,average_reward
1,5564.0,8896.0,5207.44
2,6960.0,8896.0,5207.44
3,6474.0,8896.0,5207.44
4,4140.0,8896.0,5207.44
5,4412.0,8896.0,5207.44
6,6186.0,8896.0,5207.44
7,5790.0,8896.0,5207.44
8,5608.0,8896.0,5207.44
9,5854.0,8896.0,5207.44
10,5084.0,8896.0,5207.44
11,5090.0,8896.0,5207.44
12,6834.0,8896.0,5207.44
13,4476.0,8896.0,5207.44
14,4028.0,8896.0,5207.44
15,6224.0,8896.0,5207.44
16,3900.0,8896.0,5207.44
17,3840.0,8896.0,5207.44
18,3720.0,8896.0,5207.44
19,5952.0,8896.0,5207.44
20,5608.0,8896.0,5207.44
21,4768.0,8896.0,5207.44
22,7458.0,8896.0,5207.44
23,4892.0,8896.0,5207.44
24,7140.0,8896.0,5207.44
25,7682.0,8896.0,5207.44
26,4348.0,8896.0,5207.44
27,4732.0,8896.0,5207.44
28,4732.0,8896.0,5207.44
29,3420.0,8896.0,5207.44
30,8896.0,8896.0,5207.44
31,5336.0,8896.0,5207.44
32,4960.0,8896.0,5207.44
33,4284.0,8896.0,5207.44
34,5132.0,8896.0,5207.44
35,4284.0,8896.0,5207.44
36,4928.0,8896.0,5207.44
37,6402.0,8896.0,5207.44
38,2496.0,8896.0,5207.44
39,5730.0,8896.0,5207.44
40,4996.0,8896.0,5207.44
41,4412.0,8896.0,5207.44
42,7986.0,8896.0,5207.44
43,4028.0,8896.0,5207.44
44,5472.0,8896.0,5207.44
45,5064.0,8896.0,5207.44
46,5440.0,8896.0,5207.44
47,3964.0,8896.0,5207.44
48,3840.0,8896.0,5207.44
49,6474.0,8896.0,5207.44
50,1332.0,8896.0,5207.44
