episode,total_reward,best_reward,average_reward
1,50.0,77.0,40.42
2,41.0,77.0,40.42
3,31.0,77.0,40.42
4,77.0,77.0,40.42
5,4.0,77.0,40.42
6,22.0,77.0,40.42
7,47.0,77.0,40.42
8,48.0,77.0,40.42
9,37.0,77.0,40.42
10,42.0,77.0,40.42
11,44.0,77.0,40.42
12,41.0,77.0,40.42
13,33.0,77.0,40.42
14,51.0,77.0,40.42
15,69.0,77.0,40.42
16,71.0,77.0,40.42
17,37.0,77.0,40.42
18,27.0,77.0,40.42
19,29.0,77.0,40.42
20,31.0,77.0,40.42
21,26.0,77.0,40.42
22,38.0,77.0,40.42
23,54.0,77.0,40.42
24,46.0,77.0,40.42
25,29.0,77.0,40.42
26,61.0,77.0,40.42
27,40.0,77.0,40.42
28,28.0,77.0,40.42
29,35.0,77.0,40.42
30,72.0,77.0,40.42
31,44.0,77.0,40.42
32,45.0,77.0,40.42
33,46.0,77.0,40.42
34,47.0,77.0,40.42
35,21.0,77.0,40.42
36,31.0,77.0,40.42
37,48.0,77.0,40.42
38,10.0,77.0,40.42
39,15.0,77.0,40.42
40,58.0,77.0,40.42
41,13.0,77.0,40.42
42,68.0,77.0,40.42
43,61.0,77.0,40.42
44,49.0,77.0,40.42
45,27.0,77.0,40.42
46,60.0,77.0,40.42
47,36.0,77.0,40.42
48,22.0,77.0,40.42
49,41.0,77.0,40.42
50,18.0,77.0,40.42
