episode,total_reward,best_reward,average_reward
1,183.0,973.0,502.36
2,480.0,973.0,502.36
3,781.0,973.0,502.36
4,473.0,973.0,502.36
5,437.0,973.0,502.36
6,439.0,973.0,502.36
7,756.0,973.0,502.36
8,442.0,973.0,502.36
9,679.0,973.0,502.36
10,777.0,973.0,502.36
11,923.0,973.0,502.36
12,463.0,973.0,502.36
13,194.0,973.0,502.36
14,194.0,973.0,502.36
15,492.0,973.0,502.36
16,485.0,973.0,502.36
17,496.0,973.0,502.36
18,488.0,973.0,502.36
19,473.0,973.0,502.36
20,190.0,973.0,502.36
21,498.0,973.0,502.36
22,489.0,973.0,502.36
23,495.0,973.0,502.36
24,796.0,973.0,502.36
25,778.0,973.0,502.36
26,753.0,973.0,502.36
27,193.0,973.0,502.36
28,443.0,973.0,502.36
29,733.0,973.0,502.36
30,497.0,973.0,502.36
31,702.0,973.0,502.36
32,476.0,973.0,502.36
33,196.0,973.0,502.36
34,414.0,973.0,502.36
35,735.0,973.0,502.36
36,492.0,973.0,502.36
37,195.0,973.0,502.36
38,738.0,973.0,502.36
39,196.0,973.0,502.36
40,973.0,973.0,502.36
41,192.0,973.0,502.36
42,785.0,973.0,502.36
43,766.0,973.0,502.36
44,195.0,973.0,502.36
45,791.0,973.0,502.36
46,190.0,973.0,502.36
47,499.0,973.0,502.36
48,455.0,973.0,502.36
49,195.0,973.0,502.36
50,413.0,973.0,502.36
