episode,frames,reward,avg_reward_last_100,epsilon,q_value
0,3328,0.0,0.0,0.99683935,"tensor([0.0325, 0.0335, 0.0327, 0.0326, 0.0333, 0.0329, 0.0318, 0.0333, 0.0336,
        0.0344, 0.0317, 0.0336, 0.0335, 0.0338, 0.0326, 0.0328, 0.0328, 0.0325,
        0.0330, 0.0335, 0.0321, 0.0324, 0.0281, 0.0345, 0.0336, 0.0334, 0.0331,
        0.0316, 0.0325, 0.0330, 0.0336, 0.0338], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
1,6656,0.0,0.0,0.99367775,"tensor([0.0336, 0.0345, 0.0334, 0.0316, 0.0338, 0.0325, 0.0329, 0.0335, 0.0300,
        0.0334, 0.0342, 0.0360, 0.0334, 0.0286, 0.0333, 0.0338, 0.0297, 0.0336,
        0.0332, 0.0341, 0.0333, 0.0344, 0.0343, 0.0341, 0.0340, 0.0334, 0.0338,
        0.0334, 0.0346, 0.0333, 0.0349, 0.0326], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
2,9984,0.0,0.0,0.99051615,"tensor([0.0343, 0.0341, 0.0286, 0.0339, 0.0348, 0.0333, 0.0342, 0.0343, 0.0336,
        0.0328, 0.0346, 0.0294, 0.0340, 0.0331, 0.0334, 0.0336, 0.0337, 0.0290,
        0.0296, 0.0337, 0.0301, 0.0332, 0.0352, 0.0350, 0.0348, 0.0338, 0.0332,
        0.0321, 0.0340, 0.0340, 0.0334, 0.0335], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
3,13312,0.0,0.0,0.98735455,"tensor([0.0349, 0.0339, 0.0338, 0.0342, 0.0345, 0.0347, 0.0338, 0.0334, 0.0343,
        0.0280, 0.0337, 0.0342, 0.0336, 0.0341, 0.0340, 0.0348, 0.0292, 0.0338,
        0.0349, 0.0352, 0.0342, 0.0345, 0.0337, 0.0295, 0.0339, 0.0336, 0.0290,
        0.0290, 0.0345, 0.0335, 0.0344, 0.0344], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
4,16640,0.0,0.0,0.98419295,"tensor([0.0349, 0.0347, 0.0333, 0.0342, 0.0342, 0.0342, 0.0342, 0.0340, 0.0325,
        0.0300, 0.0337, 0.0298, 0.0352, 0.0349, 0.0348, 0.0340, 0.0332, 0.0344,
        0.0349, 0.0336, 0.0342, 0.0326, 0.0329, 0.0339, 0.0343, 0.0296, 0.0344,
        0.0344, 0.0340, 0.0347, 0.0341, 0.0340], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
5,19968,0.0,0.0,0.98103135,"tensor([0.0337, 0.0341, 0.0343, 0.0338, 0.0358, 0.0350, 0.0340, 0.0344, 0.0329,
        0.0338, 0.0335, 0.0342, 0.0337, 0.0355, 0.0347, 0.0342, 0.0347, 0.0341,
        0.0297, 0.0339, 0.0342, 0.0300, 0.0337, 0.0291, 0.0335, 0.0351, 0.0303,
        0.0337, 0.0349, 0.0328, 0.0340, 0.0345], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
6,23296,0.0,0.0,0.97786975,"tensor([0.0352, 0.0327, 0.0307, 0.0351, 0.0347, 0.0338, 0.0346, 0.0292, 0.0361,
        0.0339, 0.0348, 0.0348, 0.0341, 0.0354, 0.0302, 0.0306, 0.0338, 0.0352,
        0.0342, 0.0337, 0.0353, 0.0339, 0.0339, 0.0348, 0.0356, 0.0344, 0.0345,
        0.0294, 0.0348, 0.0353, 0.0355, 0.0352], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
7,26624,0.0,0.0,0.97470815,"tensor([0.0346, 0.0343, 0.0350, 0.0356, 0.0347, 0.0345, 0.0352, 0.0350, 0.0353,
        0.0359, 0.0350, 0.0339, 0.0353, 0.0347, 0.0338, 0.0347, 0.0348, 0.0351,
        0.0363, 0.0350, 0.0353, 0.0314, 0.0342, 0.0352, 0.0351, 0.0349, 0.0349,
        0.0351, 0.0300, 0.0312, 0.0352, 0.0350], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
8,29952,0.0,0.0,0.97154655,"tensor([0.0350, 0.0355, 0.0342, 0.0311, 0.0353, 0.0342, 0.0348, 0.0356, 0.0352,
        0.0332, 0.0356, 0.0349, 0.0341, 0.0344, 0.0348, 0.0360, 0.0347, 0.0347,
        0.0345, 0.0353, 0.0346, 0.0346, 0.0347, 0.0346, 0.0359, 0.0358, 0.0338,
        0.0344, 0.0346, 0.0299, 0.0347, 0.0339], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
9,33280,0.0,0.0,0.96838495,"tensor([0.0351, 0.0311, 0.0347, 0.0347, 0.0361, 0.0358, 0.0305, 0.0298, 0.0340,
        0.0354, 0.0304, 0.0352, 0.0306, 0.0351, 0.0358, 0.0346, 0.0346, 0.0348,
        0.0353, 0.0350, 0.0349, 0.0345, 0.0349, 0.0352, 0.0353, 0.0353, 0.0349,
        0.0354, 0.0344, 0.0304, 0.0358, 0.0341], device='mps:0',
       grad_fn=<SqueezeBackward1>)"
