episode,frames,reward,avg_reward_last_100,epsilon
0,872,-21.0,-21.0,0.9983451
1,1896,-20.0,-20.5,0.9963995
2,2767,-21.0,-20.666666666666668,0.9947446
3,3804,-20.0,-20.5,0.9927743
4,4762,-20.0,-20.4,0.9909541
5,5712,-20.0,-20.333333333333332,0.9891491
6,6638,-20.0,-20.285714285714285,0.9873897
7,7624,-20.0,-20.25,0.9855163
8,8650,-19.0,-20.11111111111111,0.9835669
9,9487,-20.0,-20.1,0.9819766
10,10330,-20.0,-20.09090909090909,0.9803749
11,11274,-21.0,-20.166666666666668,0.9785813
12,12214,-21.0,-20.23076923076923,0.9767953
13,13257,-20.0,-20.214285714285715,0.9748136
14,14100,-21.0,-20.266666666666666,0.9732119
15,14864,-21.0,-20.3125,0.9717603
16,15806,-21.0,-20.352941176470587,0.9699705
17,16765,-20.0,-20.333333333333332,0.9681484
18,17709,-21.0,-20.36842105263158,0.9663548
19,18635,-20.0,-20.35,0.9645954
20,19399,-21.0,-20.38095238095238,0.9631438
21,20252,-21.0,-20.40909090909091,0.9615231
22,21136,-21.0,-20.434782608695652,0.9598435
23,22051,-21.0,-20.458333333333332,0.958105
24,22871,-21.0,-20.48,0.956547
25,23791,-20.0,-20.46153846153846,0.954799
26,24644,-21.0,-20.48148148148148,0.9531783
27,25658,-19.0,-20.428571428571427,0.9512517
28,26659,-21.0,-20.448275862068964,0.9493498
29,27451,-21.0,-20.466666666666665,0.947845
30,28443,-20.0,-20.451612903225808,0.9459602
31,29462,-20.0,-20.4375,0.9440241
32,30517,-19.0,-20.39393939393939,0.9420196
33,31436,-20.0,-20.38235294117647,0.9402735
34,32549,-19.0,-20.34285714285714,0.9381588
35,33373,-21.0,-20.36111111111111,0.9365932
36,34425,-20.0,-20.35135135135135,0.9345944
37,35640,-20.0,-20.342105263157897,0.9322859
38,36764,-20.0,-20.333333333333332,0.9301503
39,37697,-19.0,-20.3,0.9283776
40,38674,-21.0,-20.317073170731707,0.9265213
41,39542,-21.0,-20.333333333333332,0.9248721
42,40533,-20.0,-20.32558139534884,0.9229892
43,41618,-21.0,-20.34090909090909,0.9209277
44,42576,-20.0,-20.333333333333332,0.9191075
45,43593,-20.0,-20.32608695652174,0.9171752
46,44542,-19.0,-20.29787234042553,0.9153721
47,45334,-21.0,-20.3125,0.9138673
48,46277,-19.0,-20.285714285714285,0.9120756
49,47325,-20.0,-20.28,0.9100844
50,48286,-20.0,-20.274509803921568,0.9082585
51,49078,-21.0,-20.28846153846154,0.9067537
52,50044,-20.0,-20.28301886792453,0.9049183
53,51025,-20.0,-20.27777777777778,0.9030544
54,52223,-20.0,-20.272727272727273,0.9007782
55,53142,-20.0,-20.267857142857142,0.8990321
56,54022,-21.0,-20.28070175438597,0.8973601
57,55014,-20.0,-20.275862068965516,0.8954753
58,55976,-20.0,-20.271186440677965,0.8936475
59,56982,-21.0,-20.283333333333335,0.8917361
60,57806,-21.0,-20.295081967213115,0.8901705
61,58932,-19.0,-20.274193548387096,0.8880311
62,59936,-20.0,-20.26984126984127,0.8861235
63,60850,-21.0,-20.28125,0.8843869
64,61690,-21.0,-20.29230769230769,0.8827909
65,62590,-20.0,-20.28787878787879,0.8810809
66,63782,-18.0,-20.253731343283583,0.8788161
67,64649,-20.0,-20.25,0.8771688
68,65599,-19.0,-20.231884057971016,0.8753638
69,66540,-21.0,-20.242857142857144,0.8735759000000001
70,67610,-20.0,-20.239436619718308,0.8715429
71,68508,-20.0,-20.23611111111111,0.8698367
72,69556,-19.0,-20.21917808219178,0.8678455
73,70426,-20.0,-20.216216216216218,0.8661925
74,71571,-19.0,-20.2,0.864017
75,72391,-21.0,-20.210526315789473,0.862459
76,73313,-20.0,-20.20779220779221,0.8607072
77,74325,-20.0,-20.205128205128204,0.8587844
78,75306,-21.0,-20.21518987341772,0.8569205
79,76070,-21.0,-20.225,0.8554689
80,77141,-19.0,-20.209876543209877,0.853434
81,78068,-20.0,-20.20731707317073,0.8516727
82,78953,-21.0,-20.216867469879517,0.8499912000000001
83,79874,-19.0,-20.202380952380953,0.8482413
84,80805,-21.0,-20.211764705882352,0.8464724
85,81676,-20.0,-20.20930232558139,0.8448175
86,82540,-21.0,-20.2183908045977,0.8431759
87,83572,-19.0,-20.204545454545453,0.8412151
88,84637,-20.0,-20.202247191011235,0.8391916
89,85617,-19.0,-20.18888888888889,0.8373296
90,86459,-20.0,-20.186813186813183,0.8357298
91,87435,-21.0,-20.195652173913043,0.8338754
92,88381,-21.0,-20.204301075268816,0.832078
93,89263,-21.0,-20.21276595744681,0.8304022
94,90503,-19.0,-20.2,0.8280462
95,91301,-21.0,-20.208333333333332,0.82653
96,92232,-20.0,-20.20618556701031,0.8247611
97,93249,-19.0,-20.193877551020407,0.8228288
98,94177,-21.0,-20.2020202020202,0.8210656000000001
99,95061,-21.0,-20.21,0.819386
100,96007,-21.0,-20.21,0.8175886
101,97264,-19.0,-20.2,0.8152003
102,98197,-19.0,-20.18,0.8134276
103,99197,-21.0,-20.19,0.8115276
104,100128,-20.0,-20.19,0.8097587
105,101094,-21.0,-20.2,0.8079233
106,102011,-21.0,-20.21,0.806181
107,103105,-21.0,-20.22,0.8041024
108,104020,-21.0,-20.24,0.8023639
109,104940,-19.0,-20.23,0.8006158999999999
110,106028,-20.0,-20.23,0.7985487
111,107000,-21.0,-20.23,0.7967019
112,107945,-20.0,-20.22,0.7949064
113,108903,-20.0,-20.22,0.7930862000000001
114,110061,-20.0,-20.21,0.790886
115,110992,-20.0,-20.2,0.7891171
116,111964,-21.0,-20.2,0.7872703000000001
117,112788,-21.0,-20.21,0.7857047
118,113700,-21.0,-20.21,0.7839719
119,114553,-21.0,-20.22,0.7823512
120,115439,-21.0,-20.22,0.7806678
121,116263,-21.0,-20.22,0.7791022
122,117228,-20.0,-20.21,0.7772687
123,118128,-21.0,-20.21,0.7755587
124,119104,-21.0,-20.21,0.7737043
125,119988,-21.0,-20.22,0.7720247
126,121215,-20.0,-20.21,0.7696934
127,122174,-20.0,-20.22,0.7678713
128,122966,-21.0,-20.22,0.7663665
129,124096,-19.0,-20.2,0.7642195
130,125058,-21.0,-20.21,0.7623917
131,126043,-20.0,-20.21,0.7605202
132,127123,-20.0,-20.22,0.7584682
133,128223,-19.0,-20.21,0.7563782
134,129105,-21.0,-20.23,0.7547024
135,129989,-21.0,-20.23,0.7530228
136,131013,-21.0,-20.24,0.7510772
137,131916,-21.0,-20.25,0.7493615
138,132924,-20.0,-20.25,0.7474463
139,133855,-21.0,-20.27,0.7456773999999999
140,134698,-21.0,-20.27,0.7440757
141,135522,-21.0,-20.27,0.7425101000000001
142,136627,-18.0,-20.25,0.7404106
143,137683,-19.0,-20.23,0.7384042
144,138657,-21.0,-20.24,0.7365536
145,139815,-19.0,-20.23,0.7343534
146,140892,-19.0,-20.23,0.7323071000000001
147,141812,-20.0,-20.22,0.7305591
148,142727,-21.0,-20.24,0.7288206
149,143569,-20.0,-20.24,0.7272208
150,144552,-20.0,-20.24,0.7253531
151,145500,-21.0,-20.24,0.7235519
152,146344,-20.0,-20.24,0.7219483
153,147208,-21.0,-20.25,0.7203067000000001
154,148244,-20.0,-20.25,0.7183383
155,149068,-21.0,-20.26,0.7167726999999999
156,149939,-21.0,-20.26,0.7151178
157,150932,-20.0,-20.26,0.7132311
158,151947,-20.0,-20.26,0.7113026
159,152768,-21.0,-20.26,0.7097427000000001
160,153799,-18.0,-20.23,0.7077838000000001
161,154670,-21.0,-20.25,0.7061289
162,155712,-19.0,-20.24,0.7041491
163,156476,-21.0,-20.24,0.7026975
164,157362,-21.0,-20.24,0.7010141000000001
165,158280,-21.0,-20.25,0.6992699
166,159133,-21.0,-20.28,0.6976492000000001
167,159944,-21.0,-20.29,0.6961083
168,161046,-19.0,-20.29,0.6940145
169,161872,-21.0,-20.29,0.6924451
170,162636,-21.0,-20.3,0.6909935
171,163545,-21.0,-20.31,0.6892664
172,164591,-20.0,-20.32,0.687279
173,165556,-20.0,-20.32,0.6854454999999999
174,166670,-21.0,-20.34,0.6833289
175,167664,-20.0,-20.33,0.6814403
176,168622,-20.0,-20.33,0.6796201
177,169474,-21.0,-20.34,0.6780013
178,170300,-21.0,-20.34,0.6764319000000001
179,171145,-21.0,-20.34,0.6748264
180,172089,-21.0,-20.36,0.6730328000000001
181,173021,-20.0,-20.36,0.671262
182,173963,-21.0,-20.36,0.6694722
183,174845,-21.0,-20.38,0.6677964000000001
184,175716,-21.0,-20.38,0.6661414999999999
185,176587,-21.0,-20.39,0.6644866
186,177590,-21.0,-20.39,0.6625809
187,178382,-21.0,-20.41,0.6610761
188,179224,-20.0,-20.41,0.6594763
189,180318,-20.0,-20.42,0.6573977
190,181266,-20.0,-20.42,0.6555964999999999
191,182248,-19.0,-20.4,0.6537307000000001
192,183012,-21.0,-20.4,0.6522791
193,183945,-20.0,-20.39,0.6505064
194,184811,-20.0,-20.4,0.648861
195,185653,-20.0,-20.39,0.6472612
196,186590,-19.0,-20.38,0.6454809
197,187701,-20.0,-20.39,0.64337
198,188582,-21.0,-20.39,0.6416961000000001
199,189346,-21.0,-20.39,0.6402445
200,190170,-21.0,-20.39,0.6386788999999999
201,191024,-21.0,-20.41,0.6370563
202,191906,-21.0,-20.43,0.6353805
203,192730,-21.0,-20.43,0.6338149
204,193522,-21.0,-20.44,0.6323101
205,194382,-21.0,-20.44,0.6306761000000001
206,195286,-20.0,-20.43,0.6289585
207,196138,-21.0,-20.43,0.6273397000000001
208,197040,-20.0,-20.42,0.6256259
209,197990,-20.0,-20.43,0.6238209
210,198828,-20.0,-20.43,0.6222287
211,199698,-20.0,-20.42,0.6205757000000001
212,200462,-21.0,-20.43,0.6191241000000001
213,201288,-21.0,-20.44,0.6175547
214,202297,-20.0,-20.44,0.6156376
215,203279,-21.0,-20.45,0.6137718000000001
216,204043,-21.0,-20.45,0.6123202000000001
217,205043,-19.0,-20.43,0.6104202000000001
218,205948,-21.0,-20.43,0.6087007
219,206852,-20.0,-20.42,0.6069831
220,207818,-19.0,-20.4,0.6051477000000001
221,208764,-20.0,-20.39,0.6033503
222,209709,-19.0,-20.38,0.6015548
223,210640,-20.0,-20.37,0.5997859000000001
224,211432,-21.0,-20.37,0.5982811
225,212215,-21.0,-20.37,0.5967933999999999
226,213007,-21.0,-20.38,0.5952886
227,213891,-21.0,-20.39,0.593609
228,214790,-20.0,-20.38,0.5919009
229,215554,-21.0,-20.4,0.5904493
230,216470,-20.0,-20.39,0.5887089000000001
231,217262,-21.0,-20.4,0.5872041
232,218273,-20.0,-20.4,0.5852832
233,219283,-20.0,-20.41,0.5833642
234,220210,-20.0,-20.4,0.5816029
235,221132,-20.0,-20.39,0.5798511
236,221896,-21.0,-20.39,0.5783995
237,222780,-21.0,-20.39,0.5767199000000001
238,223790,-20.0,-20.39,0.5748009000000001
239,224771,-20.0,-20.38,0.572937
240,225821,-20.0,-20.37,0.5709420000000001
241,226701,-21.0,-20.37,0.5692699999999999
242,227757,-20.0,-20.39,0.5672636
243,228521,-21.0,-20.41,0.565812
244,229599,-20.0,-20.4,0.5637638
245,230518,-20.0,-20.41,0.5620177
246,231459,-20.0,-20.42,0.5602298
247,232441,-20.0,-20.42,0.5583640000000001
248,233224,-21.0,-20.42,0.5568763
249,234007,-21.0,-20.43,0.5553886
250,234896,-20.0,-20.43,0.5536995
251,235815,-20.0,-20.42,0.5519534
252,236753,-20.0,-20.42,0.5501712000000001
253,237686,-21.0,-20.42,0.5483985
254,238538,-21.0,-20.43,0.5467797000000001
255,239535,-19.0,-20.41,0.5448854000000001
256,240377,-20.0,-20.4,0.5432856
257,241201,-21.0,-20.41,0.54172
258,242114,-21.0,-20.42,0.5399853000000001
259,242975,-20.0,-20.41,0.5383494
260,243799,-21.0,-20.44,0.5367838
261,244871,-20.0,-20.43,0.5347470000000001
262,245635,-21.0,-20.45,0.5332954000000001
263,246593,-20.0,-20.44,0.5314752
264,247479,-21.0,-20.44,0.5297918
265,248470,-20.0,-20.43,0.5279089
266,249380,-21.0,-20.43,0.5261799
267,250361,-20.0,-20.42,0.524316
