episode,total_reward,best_reward,average_reward
1,550.0,4625.0,3003.5
2,4500.0,4625.0,3003.5
3,4125.0,4625.0,3003.5
4,4575.0,4625.0,3003.5
5,4075.0,4625.0,3003.5
6,500.0,4625.0,3003.5
7,4250.0,4625.0,3003.5
8,4050.0,4625.0,3003.5
9,4175.0,4625.0,3003.5
10,4575.0,4625.0,3003.5
11,4175.0,4625.0,3003.5
12,4350.0,4625.0,3003.5
13,400.0,4625.0,3003.5
14,4300.0,4625.0,3003.5
15,425.0,4625.0,3003.5
16,4150.0,4625.0,3003.5
17,3975.0,4625.0,3003.5
18,4125.0,4625.0,3003.5
19,600.0,4625.0,3003.5
20,400.0,4625.0,3003.5
21,4100.0,4625.0,3003.5
22,400.0,4625.0,3003.5
23,4075.0,4625.0,3003.5
24,4625.0,4625.0,3003.5
25,4250.0,4625.0,3003.5
26,500.0,4625.0,3003.5
27,4275.0,4625.0,3003.5
28,400.0,4625.0,3003.5
29,4625.0,4625.0,3003.5
30,500.0,4625.0,3003.5
31,3950.0,4625.0,3003.5
32,400.0,4625.0,3003.5
33,4150.0,4625.0,3003.5
34,4175.0,4625.0,3003.5
35,3925.0,4625.0,3003.5
36,4200.0,4625.0,3003.5
37,4125.0,4625.0,3003.5
38,400.0,4625.0,3003.5
39,400.0,4625.0,3003.5
40,400.0,4625.0,3003.5
41,3975.0,4625.0,3003.5
42,4250.0,4625.0,3003.5
43,4100.0,4625.0,3003.5
44,4100.0,4625.0,3003.5
45,4050.0,4625.0,3003.5
46,4275.0,4625.0,3003.5
47,4100.0,4625.0,3003.5
48,700.0,4625.0,3003.5
49,550.0,4625.0,3003.5
50,3925.0,4625.0,3003.5
