episode,total_reward,best_reward,average_reward
1,1520.0,1660.0,1479.6
2,1520.0,1660.0,1479.6
3,1540.0,1660.0,1479.6
4,1560.0,1660.0,1479.6
5,1580.0,1660.0,1479.6
6,1560.0,1660.0,1479.6
7,1280.0,1660.0,1479.6
8,1480.0,1660.0,1479.6
9,1480.0,1660.0,1479.6
10,1540.0,1660.0,1479.6
11,1500.0,1660.0,1479.6
12,1220.0,1660.0,1479.6
13,1220.0,1660.0,1479.6
14,1400.0,1660.0,1479.6
15,1560.0,1660.0,1479.6
16,1540.0,1660.0,1479.6
17,1560.0,1660.0,1479.6
18,1480.0,1660.0,1479.6
19,1540.0,1660.0,1479.6
20,800.0,1660.0,1479.6
21,1360.0,1660.0,1479.6
22,1580.0,1660.0,1479.6
23,1580.0,1660.0,1479.6
24,1560.0,1660.0,1479.6
25,1580.0,1660.0,1479.6
26,1500.0,1660.0,1479.6
27,1480.0,1660.0,1479.6
28,1500.0,1660.0,1479.6
29,1300.0,1660.0,1479.6
30,1540.0,1660.0,1479.6
31,1540.0,1660.0,1479.6
32,1420.0,1660.0,1479.6
33,1460.0,1660.0,1479.6
34,1600.0,1660.0,1479.6
35,1580.0,1660.0,1479.6
36,1180.0,1660.0,1479.6
37,1620.0,1660.0,1479.6
38,1520.0,1660.0,1479.6
39,1520.0,1660.0,1479.6
40,1580.0,1660.0,1479.6
41,1480.0,1660.0,1479.6
42,1540.0,1660.0,1479.6
43,1660.0,1660.0,1479.6
44,1220.0,1660.0,1479.6
45,1240.0,1660.0,1479.6
46,1540.0,1660.0,1479.6
47,1660.0,1660.0,1479.6
48,1580.0,1660.0,1479.6
49,1620.0,1660.0,1479.6
50,1560.0,1660.0,1479.6
