episode,total_reward,best_reward,average_reward
1,285.0,750.0,416.1
2,365.0,750.0,416.1
3,345.0,750.0,416.1
4,345.0,750.0,416.1
5,520.0,750.0,416.1
6,165.0,750.0,416.1
7,135.0,750.0,416.1
8,580.0,750.0,416.1
9,245.0,750.0,416.1
10,405.0,750.0,416.1
11,345.0,750.0,416.1
12,440.0,750.0,416.1
13,515.0,750.0,416.1
14,525.0,750.0,416.1
15,560.0,750.0,416.1
16,160.0,750.0,416.1
17,425.0,750.0,416.1
18,540.0,750.0,416.1
19,575.0,750.0,416.1
20,335.0,750.0,416.1
21,510.0,750.0,416.1
22,485.0,750.0,416.1
23,415.0,750.0,416.1
24,345.0,750.0,416.1
25,495.0,750.0,416.1
26,575.0,750.0,416.1
27,365.0,750.0,416.1
28,365.0,750.0,416.1
29,475.0,750.0,416.1
30,345.0,750.0,416.1
31,450.0,750.0,416.1
32,295.0,750.0,416.1
33,320.0,750.0,416.1
34,395.0,750.0,416.1
35,520.0,750.0,416.1
36,545.0,750.0,416.1
37,455.0,750.0,416.1
38,635.0,750.0,416.1
39,355.0,750.0,416.1
40,465.0,750.0,416.1
41,415.0,750.0,416.1
42,480.0,750.0,416.1
43,475.0,750.0,416.1
44,440.0,750.0,416.1
45,255.0,750.0,416.1
46,375.0,750.0,416.1
47,750.0,750.0,416.1
48,150.0,750.0,416.1
49,245.0,750.0,416.1
50,600.0,750.0,416.1
